comentario,polaridade
Eu tenho um controle absurdo dos meus gastos. já tentei aumento do limite da Nubank por 3 vezes e desisti ??. nunca aprovam. Estou fazendo minhas compras agora só no Digio. pois sem pedir me ofereceu 1.000.00 de aumento do limite sem eu pedir. e olha que notícia boa. contas em dias e sem apertos. O nome disso e saber controlar gastos ??,negativo
@palomaa_soares,neutro
Que pena que não aprovará para mim.,negativo
Só não ganhei minha capinha do cartão. Poxa @nubank,negativo
Eu realmente precisei do limite e não aprovaram..... Azar. fiz um cartão com meu banco Santander. gastei tudo que precisava e cancelei ele!!,negativo
Mas aí é que tá o problema.  eu não vou sair do meu cartão atual e perder pontos de fidelidade. para arriscar um possível quem sabe aumento de limite no nubank... meus bancos atuais já me deram limite bom de cara e confiaram no meu perfil. mas e o @nubank ?,negativo
Você já aumentou meu limite meu amor roxo??,positivo
eu já abandonei.,negativo
Nem cartão vcs libera. quanto mais limite ??,negativo
??,positivo
????????,positivo
@ticiarock ??,neutro
??,positivo
Eu quero um,neutro
Tenho minhas dúvidas quanto a essas justificativas para não aumentar o limite. pois já enviei a vocês comprovante de rendimentos que mostram que tenho condições para um limite maior...mas segue o jogo que o concorrente Digio e INTER é o melhor até o momento.,negativo
Pq tão perfeitos ?? primeiro. vcs são lindos. segundo. vcs fecham.,positivo
Sonhando em ver os banco ?? Nubank em todas as cidades. tudo roxinho ??,positivo
Vcs não tem respeito pelos clientes não consigo investir na minha empresa pq simplesmente os bonitos não me dão um limite razoável... tenho que fazer tudo pelo boleto. pensando seriamente em cancelar...,negativo
Amo muito????,positivo
Pra mim tem muita conversa fiada aí !! Tem muita gente com renda muito alta igual a minha e não aumenta o limite pra mim e conversa fiada e mal análise !!!,negativo
Depois que eu comecei a usar o nubank pra tudo meu limite triplicou em 4 meses :),positivo
Não foi aprovado meu cartão de crédito??,negativo
@carlacostmou,neutro
Tô com 1750. pedi pra aumentar e nada. o cartão laranja tá mais interessante que o roxo!!!,negativo
Melhor cartão ?? que existe. é o roxinho ?? #Nubank. o melhor ??????????,positivo
Ele tem a função debito tbm????,neutro
Comecei com 400 em 1 anos 7500,positivo
Só queria ser aprovada no credito. o resto eu conquistava kkklkk,neutro
Te amo. NU ??,positivo
Nunca consiga aumento,negativo
@flaviac.freitas Somos Nu Bebê??,positivo
Eu infelizmente nunca consegui o meu,negativo
@nubank. manda essa surpresinha pro meu marido. Gastamos. pagamos antes do vencimento e nada. Ah. vai!!! merecia aumento e ainda mais uns brindes??????????????,negativo
Bora aumentar o meu limite né @nubank ??,neutro
@aprendasobrebatidos  segue eles bb,neutro
Como Faço Pra Adquirir Um Cartão,neutro
@kaio_da_hora,neutro
Melhor cartão ??,positivo
Faz muito sentido?? eu ter o Nubank há 1 ano e meio com um limite de 450.00. Com uma renda mensal de 2.700.00.  pagando fatura antecipada e  um Score que chegou a quase 800! Por isso vou cancelar essa porcaria. O ITÁU me deu um limite de 7mil !!! ??. Pago sorrindo a unidade de 22.90 mensal. #Aprendam aí com eles como cativar clientes??,negativo
Recebi um convite mais quando tento nunca dá certo,negativo
??????????,positivo
Faz 2 anos que tento faze e nunca sou aprovada ?? e eu tenho  outros car tão  e nem Poriso  consigo ??,negativo
????,positivo
Balela,negativo
Porque não consigo o meu,neutro
@jusilva_ln,neutro
Kkkkkk @darkvics,neutro
Desde que descobrir o nu foi só paixão. mas infelizmente não tinha o convite. Mas a um mês conseguir e aí é só felicidade. ainda mais com a nuconta???????????? só tenho uma reclamação. Minha esposa queria muito a capinha e não veio?? se vocês me mandassem essa capinha eu iria ficar bem na fita com meu Mozão. ????????,positivo
Meu amor roxo ??,positivo
Amo meu Nubank ?? comecei com limite de 950.00 e em poucos meses aumentou pra 2.150.00,positivo
O grande paradoxo é concentrar os gastos no cartão Nubank. tendo um limite abaixo do razoável para seu perfil. Vocês estão fazendo um ótimo trabalho. mas acredito que esteja havendo algumas perdas de oportunidades consideráveis. Sei que continuarão evoluindo. e estou ansioso pelas contas PJ's! ?? @jvictorrosa,positivo
Nubank. algumas pessoas têm o controle total das suas dívidas. e se pedem limite é porque podem pagar pelo limite solicitado. Pensem nisso. obrigada. E pra não perder o costume #aumentameulimitenubank ??,neutro
O meu eu sempre pago antes do dia do vencimento. sempre pago o valor total. porém nunca aumentam meu limite ?? @nubank,negativo
Haaaa adoro o cartão . mais esse de aumento de limites tenho que descorda . já tem um tempo que peço é nunca consigo o aumento. Eu até enviei meu extrato bancário e nada . Nessa parte aí fico bem triste e acabo usado outro cartão.,positivo
??????,positivo
@henrique.sore,neutro
O melhor ????,positivo
@vanesssagc,neutro
Esse papo do Nubank é furado. Faço tudo o que dizem e tenho um score de mais de 700 pontos e mesmo assim estou a 14 meses sem ter um aumento. Ja pedi varias vezes e nada. Nisso ganharam a minha insatisfação. sou disciplinado e tenho controle dos meus gastos não preciso do Nubank para controlar as minhas compras. Estão demorando tanto para aumentar o meu limite que estou migrando para o Digio. E acredito que milhares de pessoas tb ou para outras empresas. Abram o olho e não percam a filosofia que introduziram no mercado. Sou cliente desde 2017 e não era para eu estar passando uma decepção dessas.,negativo
Amados. eu peço é pra que vocês não aumentem meu limite. menor possibilidade de resistir hahaha,positivo
Recebi meu cartão em maio desse ano. Nubank foi injusto generoso com aumento do meu limite. Meu primeiro aumento de 600 pra 5.500. Fiquei passada!! ?????? ??????,positivo
Poxa @nubank  porque você nunca me aceita???,negativo
Sempre pagamos na data correta e acredito que não haja nada de errado em aumentar meu limite. mas infelizmente não tenho conseguido. ??,negativo
Mas vocês ficam tristes porque eu peço aumento todo mês? ??,negativo
Eu achei bom o meu limite.pq assim n faço muita dívidas,positivo
Eu tenho 3 cartões. Queria deixar apenas o nubank porém o limite é muita maior que os outros que tenho.  @nubank me ajude a cancelar meus outros cartões.,negativo
Liberar a modalidade empréstimo ajuda também o cliente não entrar em aperto! Não cobrar juros tão altos em caso de atraso,neutro
Foi feito para mim,positivo
Meu sonho é ser nu denovo pena que vocês não  me aceitam??,negativo
@nubank conhece cada um dos seus clientes. Conceder crédito é pra quem merece.,positivo
A foto o meu,neutro
@natalia_mmaciel aí. cuidando do seu limite ??,negativo
Ele é  maravilhoso ??,positivo
??????????????????????????,neutro
Abri uma conta recentemente pelo app. Foi muito fácil e rápido! Valeu @nubank ????,positivo
@ticaosylver,neutro
Comecei com 2300 e não tive aumento já tem um bom tempo ????,negativo
@nubank juro que não entendo essa análise de cartões de vocês. Tenho nome limpo. score alto. cartões de crédito de outras instituições. NuConta e vocês só sabem negar cartão de crédito. Não estão precisando de novos clientes né?!,negativo
Quando eu vou começar a ganhar desconto no cinema usando meu roxinho?,neutro
É só que não aumenta é de jeito nenhum. Tem um score alto. uso o Nubank com frequência. pago em dias aliás muitas vezes antecipadamente e ainda assim sempre recusam. Outros cartões mais recentes ja tem mais que o Nubank que ja uso a 1 ano. Lamentável. Limite baixo em cartão de crédito nem adianta. Se torna apenas um quebra galho.,negativo
Pra mim poderia liberar os R$50.00 que muitos estão desdenhando aí. só pra eu abastecer minha moto todo mês que eu aceitaria de bom agrado. feliz da vida...,neutro
Não concordo com essa lógica! Gosto de concentrar todos meu gastos em um cartão só. pois facilita na hora do pagamento. Sendo que com o o nubank o meu cartão o limite é 5200 sendo assim sou obrigado a usar outro cartão. pois o limite é muito baixo. Minha fatura costuma vir mais de 3000 e nunca atrasei um dia sei quer....,negativo
@nubank nem parece uma empresa... é um brother ??,positivo
Estou satisfeita com o meu limite. grata,positivo
??????????????,positivo
As pessoas que tem esse limite de 50 reais conseguem de fato algum dia um aumento no cartão?@nubank nunca vi ninguém comentando que conseguiu!,neutro
Mas agradeço a @nubank pelo o limite ????????,positivo
@le_colombo,neutro
Isso é muito verdade. eu gostaria muito de ter um limite maior. maaaaaaas se Nubank desse asa a cobra eu já estaria bem endividado kkk.,positivo
Consegui o cartão. somente na função débito. mesmo com nome limpo não foi aprovado o crédito.,neutro
Eu faço tudo isso. e vcs não aumentam mês que vem eu viajo e queria usar o roxinho. infelizmente não vai ser possível vou ter que usar o jurássico mesmo com todas a taxas e restrições e surpresas...me ajuda @nubank,neutro
analise de risco. vocês pegam como base o score. o meu é baixissimo. mas nunca tive meu nome negativado. o serviço de proteção ao crédito scoring foi criado em 2014 com muitas burocracias e vocês avaliam a pessoa somente com essa base! insatisfação é palavra! @nubank,negativo
Fui aprovado com 1.300 e logo meu limite aumentou só foi dois meses,positivo
??,positivo
@nubank .te amo. Aumenta meu limite ????,positivo
Meu queridinho NU.??,positivo
O Bradesco liberou meu financiamento pra um carro e o Nubank não me liberou um cartão de credito?? sendo que pago 5 mil em dia de cartão por mês! ????????,negativo
ME LIBERA A FUNÇÃO CRÉDITO. NUNCA TE PEDI NADA ??,neutro
Eu amo o meu roxinho. mas tenho uma sugestão: poderia ser enviado mensagens ou notificações diárias. sobre o saldo existente na NuConta. assim. não teria a necessidade de ficar entrando no app. #ficaadica,positivo
Depois do cadastro preciso depositar algum valor ?,neutro
Precisei pra alugar minha casa. não aumentaram. me virei e dei meu jeito. a imobiliária me ajudou e consegui mesmo assim. passou nem dois meses tá lá o nubank aumentando meu limite. ?????? Parece homem esse nubank.,neutro
Não aumenta... não utilizo porque todas as minhas compras é maior que o limite e término tendo que o usar o meu @meudigio que me deu um limite razoável pra bacana.,negativo
Parabéns @nubank chegou a 1M de seguidores aqui no Insta. ????,positivo
Sei lá. mas acho que esses critérios não são tão afetivos...??,negativo
Vcs poderiam dar 40 dias como o cartão Bradesco ... Tô doida para largar ele.,neutro
@meunubank nunca pedi nada mas gostaria de ter limite para dois S10 plus é pedir muito???,neutro
O meu limite é só 50 reais TD que penso em comprar na internet nunca dá. desanimei @nubank  aumenta aí pra mim???,negativo
@adriamanoela,neutro
Todo mês.. Sem preocupações!,positivo
Não sei se tenho vida sem NB !! ??,positivo
Semana passada pedi um aumento de limite pra passar uma viagem no Airbnb. Não liberou. Eu já tinha o dinheiro reservado pra pagar. Resumindo: passei outro cartão de limite maior. Minha dúvida é. não teria como liberar um limite maior temporário?,negativo
meu cartão era pra ter chego dia 06 de agosto e até agora nada,negativo
Podia pelo menos liberar o meu kkkk já que minha nuconta tem money money,negativo
É um cartão mais que sensato. demais !! ????,positivo
Aumenta meu limite ae,neutro
??,positivo
Melhor piada que já ouvi hj,negativo
????????,negativo
Espero que o meu almente porque quando vou fazer compra  alta uso da minha esposa queria usa mais o meu ??????,neutro
Um post que todos os clientes deveriam ler ?????? parabéns por esclarecer @nubank,positivo
7 meses e nada de reajuste de limite. Cm posso manter um frequência de gastos se meu limite é ínfimo.??,neutro
@oliveiranaf,neutro
@nubank Está faltando disponibilizar a melhor data de compra do cartão no aplicativo de forma simples e intuitiva sem o cliente precisar ficar fazendo conta assim como os concorrentes já fazem!,neutro
@ekilson_silva,neutro
Atualizou o App. agora no meu Zen fone 2 de 3 anos e rodando tudo normal. mas pro App do Nubank o celular é VELHO e o App Simplesmente NÃO funciona. Tenho 82 apps no celular e só o app do Nubank com essa frescura abre e fecha sozinho ! Nubank Tem algum acordo com fabricantes de celular pra forcar a compra de celular novo ???,negativo
Já tenho meu nu débito. recebo meu salário pela nu conta. mas ainda não ganhei meu nu crédito! ????,negativo
@nubank tudo isso já faço e faz mais de 1 e meio que meu limite não aumentou. ??,negativo
Meu xodó too! Agradeço a politica de crédito. na vdd! ??  Poderiam ter posts sobre educação financeira. algo tão sério e tao subestimado nas escolas por exemplo!,positivo
Eu amo meu roxinho ??,positivo
Desde 2016 usando o cartão e não tenho um limite compatível com o que uso em cartão. foi deixando de ser meu principal cartão pq desisti de insistir em solicitar aumento e ser negado. vcs fazem acompanhamento. sabem que temos outros cartões. que não deixamos de pagar. mas não aumentam. só tenho ainda pq é o mais organizado entre os aplicativos de cartão. mas perdi o encanto com relação a cartão nubank. já mandei contracheque. já ofereci enviar meu histórico de pagamento dos outros cartões mas nada adianta. ??,negativo
Meu roxinho ??,positivo
Mesmo com o  holerite  comprovando minha renda não estou conseguindo aumentar o meu limite. já tem dias que tento @nubank !! ????,negativo
@camposuil,neutro
